name,role,level,region
Dr Alex Mulindwa (Team Lead),SMO-NTLP,MOH-Central,Gulu
Dr. Christine Nakayima,SMO-SCAPP CQI,MOH-Central,Gulu
Alphonse Kwizera,CQI Officer-Integration,MOH-Central,Gulu
Philp Kasibante,PO-M&E,MOH-Central,Gulu
Sserunkuma,POMU - Community CSO,MOH-Central,Gulu
Dr. Faridah Akuju,CQI National Trainer,MOH-Central,Gulu
Dr. Ivan Arinaitwe,National Integration Trainer,MOH-Central,Gulu
Dr Philp Ajuk,Head Public/Community Health Department,RRH-Regional,Gulu
Dr. Anena Juliet,Chronic Care Coordinator (CCC),RRH-Regional,Gulu
Abwot Michael,Regional CQI Officer,RRH-Regional,Gulu
TBD CQI Team Lead,Regional IP - JCRC Acholi,RRH-Regional,Gulu
DHO/DHT Member TBD,Move with a DHT Member per Site Host District,DHT District,Gulu
Uragiwenima Vallence (Team Lead),Principal Environmental Officer,MOH-Central,Yumbe
Julius Sendiwala,MSPH - M&E/QIA,MOH-Central,Yumbe
Denis Adoa,PO Pead,MOH-Central,Yumbe
Ikoba Geoffrey,MCO National Trainer,MOH-Central,Yumbe
Ambrose Jakira,Resource Person - Integration,MOH-Central,Yumbe
Lillian Kihuumuro,UYP - Community CSO,MOH-Central,Yumbe
Emiku Joseph,Resource Person - Integration,MOH-Central,Yumbe
Dr. Philp Achidri Haroga,Head Public/Community Health Department,RRH-Regional,Yumbe
Dr. Musa Arafat,Chronic Care Coordinator (CCC),RRH-Regional,Yumbe
Dr. Rubeihayo Joseph,Regional CQI Officer,RRH-Regional,Yumbe
TBD CQI Team Lead,Regional IP - IDI,RRH-Regional,Yumbe
DHO/DHT Member TBD,Move with a DHT Member per Site Host District,DHT District,Yumbe
Moses Luwunzu (Team Lead),PO M&E,MOH-Central,Arua
Dr. Edwin Ouma,SMO-SCAPP CQI,MOH-Central,Arua
Nova Azizi,National Trainer Integration,MOH-Central,Arua
Nambale Esther,CQI Trainer/Mentor,MOH-Central,Arua
Dr. Simon Walusimbi,MSPH,MOH-Central,Arua
Habokwesiga Laban,Integration CQI Trainer,RRH-Regional,Arua
Ninsiima Dorothy,Center for Women Justice-CSO,MOH-Central,Arua
Dr Dradiku Christopher,Head CHD,RRH-Regional,Arua
Dr. Wilson Senjokyo,Chronic Care Coordinator (CCC),RRH-Regional,Arua
Edward Otim,Regional CQI Officer,RRH-Regional,Arua
TBD CQI Team Lead,Regional IP - IDI,RRH-Regional,Arua
DHO/DHT Member TBD,Move with a DHT Member per Site Host District,DHT District,Arua
Dr Ajuna Patrick (Team Lead),PO TB DSD,MOH-Central,Hoima
Oputan Patience,Research Associate MakSPH - M&E,MOH-Central,Hoima
Dr. Kiwanuka Alexander,SMO-SCAPP CQI,MOH-Central,Hoima
Kenneth Osako,Program Associate Pead/Adol,MOH-Central,Hoima
Bellinda Tumushabe,CQI National Trainer,MOH-Central,Hoima
Alice Kabatembuzi,M&E - Integration Trainer,MOH-Central,Hoima
Ndagire Dridget Diana,NAFOPHANU,MOH-Central,Hoima
Dr. John Turyagumanawe,Head Public/Community Health Department,RRH-Regional,Hoima
Dr. Grace Musiimenta,Chronic Care Coordinator (CCC),RRH-Regional,Hoima
Dr. Kangume Ali,Regional CQI Officer,RRH-Regional,Hoima
TBD CQI Team Lead,Regional IP - IDI,RRH-Regional,Hoima
DHO/DHT Member TBD,Move with a DHT Member per Site Host District,DHT District,Hoima
Dr. Kabagambe Patrick (Team Lead),MO Integration,MOH-Central,Moroto
Jotham Omega,Senior Economist SCAPP,MOH-Central,Moroto
Brenda Atwongire,SCO-NQI Mentor,MOH-Central,Moroto
Shakila Namatovu,Resource Person - Integration,MOH-Central,Moroto
Dr Mina Nakawuka,PO  Adult HIV,MOH-Central,Moroto
Patience Mugwisagye,M&E Officer,MOH-Central,Moroto
John V. Amanya,UAPO - Community,MOH-Central,Moroto
Dr. Okot Brian,Head Public/Community Health Department,RRH-Regional,Moroto
Dr. Hans Lokale,Chronic Care Coordinator (CCC),RRH-Regional,Moroto
Kiprop Allan,Regional CQI Officer,RRH-Regional,Moroto
TBD CQI Team Lead,Regional IP - Baylor/QUAMM,RRH-Regional,Moroto
DHO/DHT Member TBD,Move with a DHT Member per Site Host District,DHT District,Moroto
Juliet Ayesiga (Team Lead),M&E,MOH-Central,Mubende
Muruta Edgar,Regional CQI Officer,MOH-Central,Mubende
Dr Katusiime Christine,SPO HTS,MOH-Central,Mubende
Salome Atim,EGIU - Community CSO,MOH-Central,Mubende
Ziporah Kyogabirwe,Resource Person - Integration,MOH-Central,Mubende
Kamusiime Cyrill,SCO-NQI Mentor,MOH-Central,Mubende
Dr. Kirunda Ibrahim,Regional CQI Officer,RRH-Regional,Mubende
Dr. Peter Kawungezi,Head Public/Community Health Department,RRH-Regional,Mubende
Dr. Mirriam Menya,Chronic Care Coordinator (CCC),RRH-Regional,Mubende
Dr. Allan Mugarura,Regional CQI Officer,RRH-Regional,Mubende
TBD CQI Team Lead,Regional IP - Baylor,RRH-Regional,Mubende
DHO/DHT Member TBD,Move with a DHT Member per Site Host District,DHT District,Mubende
